Id,Name,Stage Name,Amount,Probability,Expected Revenue,Type,Lead Source,Forecast Category,Opportunity Source,CloseDate,Status,Created Date
0068d000009MWBsAAO,Opportunity for Howell1136,Closed Won,987000,1,987000,New Business,Trade Show,Closed,BDR,5/21/2029,Won,5/21/2023
0068d000009MWBuAAO,Opportunity for Obrien1138,Closed Lost,489886,0,0,New Business,Public Relations,Omitted,AE,12/1/2028,Lost,12/1/2022
0068d000009MWBwAAO,Opportunity for Young1496,Closed Won,219000,1,219000,Existing Business,Trade Show,Closed,Marketing,6/8/2029,Won,6/8/2023
0068d000009MWBxAAO,Opportunity for Malone1500,Closed Won,583800,1,583800,New Business / Add-on,Word of mouth,Closed,AE,6/25/2029,Won,6/25/2023
0068d000009MWBzAAO,Opportunity for McDonald1503,Closed Won,3851250,1,3851250,New Business,Word of mouth,Closed,Marketing,2/10/2029,Won,2/10/2023
0068d000009MWC0AAO,Opportunity for Oliver1504,Closed Won,1032600,1,1032600,New Business / Add-on,Word of mouth,Closed,AE,1/29/2029,Won,1/29/2023
0068d000009MWGaAAO,Opportunity for Perkins1263,Negotiation/Review,1314185,0.9,1182766.5,Existing Business,Word of mouth,Forecast,AE,12/2/2029,Open,12/2/2023
0068d000009MWGbAAO,Opportunity for Tucker1268,Closed Won,371689,1,371689,New Business / Add-on,Employee Referral,Closed,AE,11/9/2028,Won,11/9/2022
0068d000009MWGeAAO,Opportunity for Malone1276,Closed Won,196200,1,196200,New Business / Add-on,Advertisement,Closed,AE,4/27/2029,Won,4/27/2023
0068d000009MWGfAAO,Opportunity for Patton1278,Closed Won,2477275,1,2477275,New Business,Web,Closed,BDR,8/1/2029,Won,8/1/2023
0068d000009MWGhAAO,Opportunity for Chandler1281,Perception Analysis,2336600,0.7,1635620,New Business,Web,BestCase,Marketing,11/27/2029,Open,11/27/2023
0068d000009MWGiAAO,Opportunity for Bradley1628,Closed Won,326160,1,326160,New Business / Add-on,Partner,Closed,Marketing,4/16/2029,Won,4/16/2023
0068d000009MWGkAAO,Opportunity for Marsh1634,Closed Lost,3055100,0,0,New Business,Employee Referral,Omitted,Marketing,3/20/2029,Lost,3/20/2023
0068d000009MW7MAAW,Opportunity for Murphy267,Closed Won,2664105,1,2664105,Existing Business,Advertisement,Closed,Marketing,2/14/2029,Won,2/14/2023
0068d000009MW7NAAW,Opportunity for Freeman268,Closed Won,1518190,1,1518190,New Business,Web,Closed,AE,7/27/2029,Won,7/27/2023
0068d000009MW7OAAW,Opportunity for Terry269,Closed Won,846000,1,846000,New Business / Add-on,Word of mouth,Closed,AE,3/31/2029,Won,3/31/2023
0068d000009MW7PAAW,Opportunity for Butler275,Closed Won,209104,1,209104,New Business,Employee Referral,Closed,BDR,2/2/2029,Won,2/2/2023
0068d000009MW7QAAW,Opportunity for Collier276,Qualification,582035,0.1,58203.5,New Business / Add-on,Partner,Pipeline,AE,11/19/2029,Open,11/19/2023
0068d000009MW7RAAW,Opportunity for Banks277,Closed Won,376862,1,376862,New Business / Add-on,Word of mouth,Closed,Marketing,8/12/2028,Won,8/12/2022
0068d000009MW7SAAW,Opportunity for Alexander278,Closed Won,18960,1,18960,New Business,Seminar - Internal,Closed,AE,3/11/2029,Won,3/11/2023
0068d000009MW7TAAW,Opportunity for Allison281,Qualification,1573350,0.1,157335,New Business / Add-on,Partner,Pipeline,Alliances,2/1/2030,Open,2/1/2022
0068d000009MW7UAAW,Opportunity for Delgado355,Closed Won,1318960,1,1318960,New Business,Partner,Closed,AE,6/3/2029,Won,6/3/2023
0068d000009MW7XAAW,Opportunity for Bryant359,Closed Won,3039400,1,3039400,New Business / Add-on,Advertisement,Closed,AE,3/30/2029,Won,3/30/2023
0068d000009MW7YAAW,Opportunity for Wise361,Needs Analysis,1595250,0.2,319050,New Business,Word of mouth,Pipeline,Marketing,1/14/2030,Open,1/14/2022
0068d000009MW7ZAAW,Opportunity for Hunt362,Closed Won,1148850,1,1148850,New Business,Employee Referral,Closed,Marketing,7/4/2029,Won,7/4/2023
0068d000009MW7aAAG,Opportunity for Scott363,Perception Analysis,788800,0.7,552160,New Business / Add-on,Seminar - Internal,BestCase,BDR,10/1/2029,Open,10/1/2023
0068d000009MW9qAAG,Opportunity for Campbell329,Closed Won,3173450,1,3173450,New Business,Trade Show,Closed,AE,8/5/2029,Won,8/5/2023
0068d000009MW9rAAG,Opportunity for Reynolds330,Closed Lost,276000,0,0,New Business / Add-on,Advertisement,Omitted,BDR,11/27/2028,Lost,11/27/2022
0068d000009MW9sAAG,Opportunity for Fletcher332,Value Proposition,313425,0.5,156712.5,New Business / Add-on,Employee Referral,Pipeline,AE,8/25/2029,Open,8/25/2023
0068d000009MW9tAAG,Opportunity for Shaw336,Qualification,389120,0.1,38912,New Business / Add-on,Employee Referral,Pipeline,AE,11/13/2029,Open,11/13/2023
0068d000009MW9uAAG,Opportunity for Roy337,Closed Won,1241600,1,1241600,New Business,Partner,Closed,AE,12/5/2028,Won,12/5/2022
0068d000009MW9vAAG,Opportunity for Brooks342,Closed Won,5280,1,5280,New Business,Partner,Closed,BDR,5/1/2029,Won,5/1/2023
0068d000009MW9wAAG,Opportunity for Gomez345,Closed Lost,3145700,0,0,New Business,Partner,Omitted,BDR,5/19/2029,Lost,5/19/2023
0068d000009MW9xAAG,Opportunity for Lamb346,Closed Lost,1668500,0,0,New Business,Partner,Omitted,AE,1/22/2029,Lost,1/22/2023
0068d000009MW9zAAG,Opportunity for Christensen684,Qualification,624510,0.1,62451,Existing Business,Partner,Pipeline,Marketing,11/17/2029,Open,11/17/2023
0068d000009MWA0AAO,Opportunity for Murray689,Closed Lost,2135800,0,0,New Business,Employee Referral,Omitted,Marketing,4/9/2029,Lost,4/9/2023
0068d000009MWA2AAO,Opportunity for Gomez694,Closed Lost,452200,0,0,New Business / Add-on,Employee Referral,Omitted,Marketing,5/6/2029,Lost,5/6/2023
0068d000009MWA3AAO,Opportunity for McKenzie695,Closed Lost,538820,0,0,New Business,Word of mouth,Omitted,BDR,6/13/2029,Lost,6/13/2023
0068d000009MWC2AAO,Opportunity for Hardy1507,Perception Analysis,594760,0.7,416332,New Business,Advertisement,BestCase,Marketing,10/29/2029,Open,10/29/2023
0068d000009MWC3AAO,Opportunity for Nguyen1510,Qualification,791500,0.1,79150,New Business,Advertisement,Pipeline,Marketing,9/17/2029,Open,9/17/2023
0068d000009MWC4AAO,Opportunity for Garrett1512,Closed Won,2719000,1,2719000,New Business,Partner,Closed,Marketing,5/10/2029,Won,5/10/2023
0068d000009MWC5AAO,Opportunity for Kennedy1514,Closed Won,130230,1,130230,New Business,Advertisement,Closed,BDR,7/24/2028,Won,7/24/2022
0068d000009MWC6AAO,Opportunity for Bell1517,Closed Won,448068,1,448068,New Business / Add-on,Employee Referral,Closed,BDR,7/14/2029,Won,7/14/2023
0068d000009MWC1AAO,Opportunity for Norris1506,Closed Won,43355,1,43355,New Business,Seminar - Internal,Closed,Marketing,2/2/2029,Won,2/2/2023
0068d000009MWJaAAO,Opportunity for Meyer1740,Closed Won,1337090,1,1337090,Existing Business,Partner,Closed,BDR,4/17/2029,Won,4/17/2023
0068d000009MWJbAAO,Opportunity for Phillips1742,Qualification,1580935,0.1,158093.5,New Business / Add-on,Employee Referral,Pipeline,AE,9/30/2029,Open,9/30/2023
0068d000009MWJcAAO,Opportunity for Smith1744,Closed Lost,535160,0,0,New Business,Word of mouth,Omitted,Marketing,1/31/2029,Lost,1/31/2023
0068d000009MWJdAAO,Opportunity for Rhodes1746,Perception Analysis,918500,0.7,642950,New Business,Trade Show,BestCase,BDR,9/13/2029,Open,9/13/2023
0068d000009MWJfAAO,Opportunity for Jackson611,Closed Won,73600,1,73600,Existing Business,Partner,Closed,BDR,2/16/2029,Won,2/16/2023
0068d000009MWJgAAO,Opportunity for Keller612,Closed Lost,765600,0,0,Existing Business,Web,Omitted,BDR,7/23/2029,Lost,7/23/2023
0068d000009MWJhAAO,Opportunity for Osborne613,Closed Won,834280,1,834280,New Business,Employee Referral,Closed,AE,7/16/2029,Won,7/16/2023
0068d000009MWJiAAO,Opportunity for Valdez617,Closed Won,273090,1,273090,New Business,Employee Referral,Closed,Marketing,12/11/2028,Won,12/11/2022
0068d000009MW7bAAG,Opportunity for McCoy365,Closed Won,88200,1,88200,New Business,Employee Referral,Closed,BDR,8/26/2028,Won,8/26/2022
0068d000009MW7cAAG,Opportunity for Love368,Closed Won,390885,1,390885,New Business / Add-on,Partner,Closed,AE,4/18/2029,Won,4/18/2023
0068d000009MW7dAAG,Opportunity for Rios369,Closed Lost,112725,0,0,New Business / Add-on,Web,Omitted,AE,10/7/2028,Lost,10/7/2022
0068d000009MW7eAAG,Opportunity for Gordon370,Closed Won,179225,1,179225,New Business,Word of mouth,Closed,Marketing,6/24/2029,Won,6/24/2023
0068d000009MW7fAAG,Opportunity for Harrington373,Closed Won,22240,1,22240,New Business,Employee Referral,Closed,Alliances,5/3/2029,Won,5/3/2023
0068d000009MW7gAAG,Opportunity for Pearson374,Closed Won,62400,1,62400,New Business,Partner,Closed,AE,6/17/2029,Won,6/17/2023
0068d000009MW7hAAG,Opportunity for Clayton375,Closed Won,657600,1,657600,New Business,Partner,Closed,AE,4/13/2029,Won,4/13/2023
0068d000009MWA4AAO,Opportunity for Malone696,Negotiation/Review,137400,0.9,123660,New Business / Add-on,Employee Referral,Forecast,BDR,9/17/2029,Open,9/17/2023
0068d000009MWA6AAO,Opportunity for Ingram699,Closed Lost,2669875,0,0,Existing Business,Trade Show,Omitted,Marketing,6/30/2029,Lost,6/30/2023
0068d000009MWA8AAO,Opportunity for Swanson1068,Negotiation/Review,248276,0.9,223448.4,New Business,Seminar - Internal,Forecast,AE,12/9/2029,Open,12/9/2023
0068d000009MWA9AAO,Opportunity for Ramsey1069,Closed Won,1867750,1,1867750,Existing Business,Employee Referral,Closed,Marketing,1/15/2029,Won,1/15/2023
0068d000009MWACAA4,Opportunity for Weber1078,Value Proposition,36960,0.5,18480,New Business / Add-on,Web,Pipeline,BDR,10/18/2029,Open,10/18/2023
0068d000009MWADAA4,Opportunity for Bowman1081,Closed Won,218204,1,218204,New Business / Add-on,Seminar - Internal,Closed,Marketing,8/20/2028,Won,8/20/2022
0068d000009MWAEAA4,Opportunity for Maxwell1082,Closed Won,457656,1,457656,New Business / Add-on,Web,Closed,AE,2/3/2029,Won,2/3/2023
0068d000009MWAFAA4,Opportunity for Soto1087,Closed Won,263500,1,263500,New Business / Add-on,Seminar - Internal,Closed,Alliances,2/15/2029,Won,2/15/2023
0068d000009MWAGAA4,Opportunity for Alvarez1088,Needs Analysis,2592000,0.2,518400,New Business,Public Relations,Pipeline,BDR,11/3/2029,Open,11/3/2023
0068d000009MWAJAA4,Opportunity for Chandler1451,Closed Lost,163110,0,0,New Business / Add-on,Web,Omitted,AE,2/25/2029,Lost,2/25/2023
0068d000009MWAKAA4,Opportunity for Grant1452,Prospecting,735870,0.1,73587,Existing Business,Employee Referral,Pipeline,AE,11/16/2029,Open,11/16/2023
0068d000009MWALAA4,Opportunity for Bates1455,Value Proposition,482025,0.5,241012.5,New Business / Add-on,Word of mouth,Pipeline,Alliances,2/19/2030,Open,2/19/2022
0068d000009MWAMAA4,Opportunity for Fisher1458,Closed Won,1438500,1,1438500,New Business / Add-on,Advertisement,Closed,BDR,10/5/2028,Won,10/5/2022
0068d000009MWANAA4,Opportunity for Paul1460,Closed Lost,2714200,0,0,New Business,Partner,Omitted,Marketing,1/28/2029,Lost,1/28/2023
0068d000009MWAOAA4,Opportunity for Cruz1461,Value Proposition,60160,0.5,30080,New Business,Advertisement,Pipeline,AE,9/15/2029,Open,9/15/2023
0068d000009MWC8AAO,Opportunity for Holt1880,Closed Lost,950440,0,0,Existing Business,Partner,Omitted,Alliances,6/3/2028,Lost,6/3/2022
0068d000009MWCAAA4,Opportunity for Barker1887,Closed Lost,1740500,0,0,New Business / Add-on,Public Relations,Omitted,BDR,3/16/2029,Lost,3/16/2023
0068d000009MWCBAA4,Opportunity for Daniel1888,Value Proposition,1384600,0.5,692300,Existing Business,Seminar - Internal,Pipeline,BDR,8/30/2029,Open,8/30/2023
0068d000009MWCCAA4,Opportunity for Phillips1889,Value Proposition,39600,0.5,19800,New Business / Add-on,Web,Pipeline,AE,1/17/2030,Open,1/17/2022
0068d000009MWCDAA4,Opportunity for Hall1897,Perception Analysis,2925000,0.7,2047500,New Business,Employee Referral,BestCase,Marketing,2/23/2030,Open,2/23/2022
0068d000009MWCEAA4,Opportunity for McKenzie1898,Closed Won,201720,1,201720,New Business,Word of mouth,Closed,Marketing,11/4/2028,Won,11/4/2022
0068d000009MWCFAA4,Opportunity for Mullins1899,Closed Won,498520,1,498520,New Business,Partner,Closed,Marketing,8/1/2028,Won,8/1/2022
0068d000009MWK2AAO,Opportunity for Kennedy1017,Closed Won,1590600,1,1590600,Existing Business,Web,Closed,Alliances,1/24/2029,Won,1/24/2023
0068d000009MWK3AAO,Opportunity for Collier1376,Prospecting,89230,0.1,8923,New Business,Trade Show,Pipeline,Marketing,9/25/2029,Open,9/25/2023
0068d000009MWK4AAO,Opportunity for Bridges1377,Closed Won,794270,1,794270,New Business,Advertisement,Closed,AE,1/22/2029,Won,1/22/2023
0068d000009MWK5AAO,Opportunity for Elliott1378,Closed Lost,3164200,0,0,New Business,Partner,Omitted,Marketing,2/14/2029,Lost,2/14/2023
0068d000009MWK6AAO,Opportunity for Ray1381,Closed Won,908360,1,908360,New Business / Add-on,Advertisement,Closed,AE,8/22/2029,Won,8/22/2023
0068d000009MWK7AAO,Opportunity for Ryan1382,Closed Won,2346320,1,2346320,New Business / Add-on,Public Relations,Closed,AE,10/18/2028,Won,10/18/2022
0068d000009MWK8AAO,Opportunity for Washington1383,Closed Won,208600,1,208600,New Business / Add-on,Partner,Closed,AE,2/27/2029,Won,2/27/2023
0068d000009MWK9AAO,Opportunity for Griffin1384,Closed Lost,374162,0,0,New Business,Word of mouth,Omitted,Marketing,4/9/2029,Lost,4/9/2023
0068d000009MWKAAA4,Opportunity for Simpson1385,Qualification,392207,0.1,39220.7,New Business,Word of mouth,Pipeline,Marketing,10/24/2029,Open,10/24/2023
0068d000009MWLQAA4,Opportunity for Luna668,Closed Won,3251640,1,3251640,New Business / Add-on,Employee Referral,Closed,BDR,4/14/2029,Won,4/14/2023
0068d000009MWLRAA4,Opportunity for Stevenson670,Value Proposition,2728890,0.5,1364445,New Business,Employee Referral,Pipeline,AE,3/1/2030,Open,3/1/2022
0068d000009MWLSAA4,Opportunity for Ramirez671,Closed Lost,430330,0,0,Existing Business,Web,Omitted,Marketing,7/13/2029,Lost,7/13/2023
0068d000009MW7iAAG,Opportunity for Mathis376,Closed Won,637520,1,637520,New Business,Advertisement,Closed,BDR,12/30/2028,Won,12/30/2022
0068d000009MW7jAAG,Opportunity for Gray19,Closed Won,690210,1,690210,New Business,Public Relations,Closed,Marketing,9/1/2028,Won,9/1/2022
0068d000009MW7kAAG,Opportunity for Hawkins22,Prospecting,136464,0.1,13646.4,New Business,Advertisement,Pipeline,Marketing,9/2/2029,Open,9/2/2023
0068d000009MW7lAAG,Opportunity for McCormick23,Negotiation/Review,744440,0.9,669996,New Business,Trade Show,Forecast,Marketing,1/18/2030,Open,1/18/2022
0068d000009MW7mAAG,Opportunity for Cox29,Closed Won,2345840,1,2345840,Existing Business,Trade Show,Closed,Alliances,5/31/2029,Won,5/31/2023
0068d000009MW7oAAG,Opportunity for Bass32,Closed Won,4010350,1,4010350,New Business / Add-on,Employee Referral,Closed,BDR,12/27/2028,Won,12/27/2022
0068d000009MW7pAAG,Opportunity for Butler33,Perception Analysis,8577295,0.7,6004106.5,New Business / Add-on,Trade Show,BestCase,Marketing,1/9/2030,Open,1/9/2022
0068d000009MW7qAAG,Opportunity for Alvarez35,Closed Won,266400,1,266400,Existing Business,Trade Show,Closed,AE,7/17/2029,Won,7/17/2023
0068d000009MW7rAAG,Opportunity for Nunez37,Closed Lost,809810,0,0,New Business / Add-on,Partner,Omitted,Alliances,7/31/2029,Lost,7/31/2023
0068d000009MW7sAAG,Opportunity for Wilkins38,Closed Won,980500,1,980500,New Business / Add-on,Partner,Closed,Marketing,7/29/2029,Won,7/29/2023
0068d000009MW7tAAG,Opportunity for Stevens152,Closed Lost,11883,0,0,Existing Business,Web,Omitted,Marketing,3/9/2029,Lost,3/9/2023
0068d000009MW7vAAG,Opportunity for Vega154,Closed Lost,77270,0,0,New Business,Public Relations,Omitted,AE,3/28/2029,Lost,3/28/2023
0068d000009MW7wAAG,Opportunity for Moss156,Negotiation/Review,857500,0.9,771750,New Business / Add-on,Web,Forecast,Marketing,10/18/2029,Open,10/18/2023
0068d000009MW7xAAG,Opportunity for Hunt157,Closed Won,353136,1,353136,New Business,Employee Referral,Closed,AE,6/1/2028,Won,6/1/2022
0068d000009MW7yAAG,Opportunity for Mendoza161,Closed Won,567800,1,567800,Existing Business,Advertisement,Closed,AE,8/8/2028,Won,8/8/2022
0068d000009MW7zAAG,Opportunity for Todd162,Prospecting,465500,0.1,46550,New Business / Add-on,Advertisement,Pipeline,Marketing,10/29/2029,Open,10/29/2023
0068d000009MWCHAA4,Opportunity for Lee759,Closed Won,710500,1,710500,New Business,Web,Closed,Alliances,11/7/2028,Won,11/7/2022
0068d000009MWCKAA4,Opportunity for Walters765,Closed Won,623750,1,623750,New Business,Employee Referral,Closed,BDR,7/2/2029,Won,7/2/2023
0068d000009MWCLAA4,Opportunity for Drake768,Perception Analysis,70368,0.7,49257.6,Existing Business,Partner,BestCase,AE,10/1/2029,Open,10/1/2023
0068d000009MWCMAA4,Opportunity for Elliott770,Closed Won,646400,1,646400,New Business,Trade Show,Closed,BDR,3/20/2029,Won,3/20/2023
0068d000009MWCNAA4,Opportunity for Malone772,Closed Won,5880,1,5880,New Business / Add-on,Employee Referral,Closed,AE,12/29/2028,Won,12/29/2022
0068d000009MWCOAA4,Opportunity for Newton773,Closed Won,887240,1,887240,New Business,Seminar - Internal,Closed,Marketing,9/3/2028,Won,9/3/2022
0068d000009MWEWAA4,Opportunity for Campbell1583,Closed Won,2008900,1,2008900,New Business,Partner,Closed,BDR,2/27/2029,Won,2/27/2023
0068d000009MWEXAA4,Opportunity for Lamb1584,Closed Lost,1728950,0,0,Existing Business,Partner,Omitted,Marketing,5/23/2029,Lost,5/23/2023
0068d000009MWEYAA4,Opportunity for Bates1952,Closed Won,127600,1,127600,New Business,Advertisement,Closed,AE,2/15/2029,Won,2/15/2023
0068d000009MWEZAA4,Opportunity for Webster1954,Closed Won,171660,1,171660,New Business,Seminar - Internal,Closed,Marketing,8/11/2029,Won,8/11/2023
0068d000009MWEaAAO,Opportunity for Cobb1955,Closed Won,446461,1,446461,New Business,Web,Closed,BDR,7/21/2028,Won,7/21/2022
0068d000009MWEbAAO,Opportunity for Wilkerson1956,Closed Won,1128970,1,1128970,New Business,Public Relations,Closed,BDR,11/14/2028,Won,11/14/2022
0068d000009MWEcAAO,Opportunity for Harper1957,Closed Won,421000,1,421000,New Business,Public Relations,Closed,BDR,8/19/2029,Won,8/19/2023
0068d000009MWEdAAO,Opportunity for Stone1959,Closed Won,1052275,1,1052275,New Business / Add-on,Web,Closed,Marketing,6/19/2029,Won,6/19/2023
0068d000009MWEeAAO,Opportunity for Bush1960,Closed Lost,1540000,0,0,New Business,Employee Referral,Omitted,AE,4/20/2029,Lost,4/20/2023
0068d000009MWEgAAO,Opportunity for Murphy1963,Negotiation/Review,1241390,0.9,1117251,New Business,Seminar - Internal,Forecast,BDR,1/4/2030,Open,1/4/2022
0068d000009MWEiAAO,Opportunity for Bowen1968,Qualification,125340,0.1,12534,New Business,Trade Show,Pipeline,Marketing,8/29/2029,Open,8/29/2023
0068d000009MWEjAAO,Opportunity for Nguyen1971,Proposal/Price Quote,2049800,0.75,1537350,New Business / Add-on,Word of mouth,BestCase,Marketing,11/30/2029,Open,11/30/2023
0068d000009MWGmAAO,Opportunity for Jacobs1642,Closed Lost,2560600,0,0,Existing Business,Trade Show,Omitted,Alliances,8/11/2029,Lost,8/11/2023
0068d000009MWGnAAO,Opportunity for Baker1644,Closed Won,2440900,1,2440900,New Business,Trade Show,Closed,AE,1/1/2029,Won,1/1/2023
0068d000009MWGoAAO,Opportunity for Austin1650,Closed Won,1132600,1,1132600,New Business / Add-on,Partner,Closed,AE,9/27/2028,Won,9/27/2022
0068d000009MWGpAAO,Opportunity for Wright1651,Closed Won,286073,1,286073,New Business,Trade Show,Closed,Marketing,5/1/2029,Won,5/1/2023
0068d000009MWGqAAO,Opportunity for McKenzie1652,Closed Won,2386625,1,2386625,New Business,Partner,Closed,Marketing,8/17/2029,Won,8/17/2023
0068d000009MWGrAAO,Opportunity for Newton532,Negotiation/Review,45265,0.9,40738.5,New Business / Add-on,Employee Referral,Forecast,Marketing,8/29/2029,Open,8/29/2023
0068d000009MWGsAAO,Opportunity for Schwartz533,Closed Won,632960,1,632960,New Business / Add-on,Advertisement,Closed,BDR,2/16/2029,Won,2/16/2023
0068d000009MWGtAAO,Opportunity for Hunter534,Closed Lost,234750,0,0,Existing Business,Employee Referral,Omitted,BDR,2/20/2029,Lost,2/20/2023
0068d000009MWGwAAO,Opportunity for Tate537,Closed Lost,1238650,0,0,New Business,Public Relations,Omitted,Marketing,12/25/2028,Lost,12/25/2022
0068d000009MWGyAAO,Opportunity for Bryant543,Closed Won,3072000,1,3072000,New Business / Add-on,Trade Show,Closed,AE,8/17/2028,Won,8/17/2022
0068d000009MWGzAAO,Opportunity for Wong544,Closed Lost,3498250,0,0,New Business,Employee Referral,Omitted,BDR,3/20/2029,Lost,3/20/2023
0068d000009MWH0AAO,Opportunity for Mack545,Closed Won,551580,1,551580,New Business,Advertisement,Closed,Alliances,12/19/2028,Won,12/19/2022
0068d000009MWH1AAO,Opportunity for Watkins896,Closed Won,358100,1,358100,New Business,Employee Referral,Closed,Marketing,6/11/2029,Won,6/11/2023
0068d000009MWH2AAO,Opportunity for Bridges897,Closed Lost,1316850,0,0,Existing Business,Partner,Omitted,Marketing,1/25/2029,Lost,1/25/2023
0068d000009MWH3AAO,Opportunity for Powell899,Closed Won,1802500,1,1802500,New Business,Word of mouth,Closed,Marketing,8/1/2028,Won,8/1/2022
0068d000009MWH4AAO,Opportunity for Wilkerson900,Prospecting,3537660,0.1,353766,New Business,Trade Show,Pipeline,AE,2/21/2030,Open,2/21/2022
0068d000009MWJjAAO,Opportunity for Weber619,Closed Won,3474950,1,3474950,New Business / Add-on,Public Relations,Closed,AE,6/26/2029,Won,6/26/2023
0068d000009MWJkAAO,Opportunity for West620,Closed Won,2151600,1,2151600,Existing Business,Word of mouth,Closed,AE,4/30/2029,Won,4/30/2023
0068d000009MWJlAAO,Opportunity for Ingram622,Closed Won,4841250,1,4841250,New Business,Word of mouth,Closed,AE,7/31/2028,Won,7/31/2022
0068d000009MWJmAAO,Opportunity for Jackson625,Closed Won,1948800,1,1948800,Existing Business,Seminar - Internal,Closed,Marketing,3/10/2029,Won,3/10/2023
0068d000009MWJnAAO,Opportunity for Daniels627,Qualification,1422600,0.1,142260,New Business / Add-on,Partner,Pipeline,Marketing,1/26/2030,Open,1/26/2022
0068d000009MWJrAAO,Opportunity for McCarthy999,Closed Won,775200,1,775200,New Business,Trade Show,Closed,AE,3/1/2029,Won,3/1/2023
0068d000009MWJtAAO,Opportunity for Chavez1002,Qualification,355680,0.1,35568,New Business,Employee Referral,Pipeline,Marketing,10/20/2029,Open,10/20/2023
0068d000009MWJwAAO,Opportunity for Vasquez1005,Closed Won,269400,1,269400,New Business,Trade Show,Closed,Marketing,3/27/2029,Won,3/27/2023
0068d000009MWJxAAO,Opportunity for Schultz1008,Closed Won,5188750,1,5188750,New Business / Add-on,Trade Show,Closed,AE,8/22/2028,Won,8/22/2022
0068d000009MWJyAAO,Opportunity for Holmes1012,Qualification,1348890,0.1,134889,New Business,Advertisement,Pipeline,AE,2/6/2030,Open,2/6/2022
0068d000009MWJzAAO,Opportunity for Richardson1013,Value Proposition,499733,0.5,249866.5,Existing Business,Partner,Pipeline,AE,9/1/2029,Open,9/1/2023
0068d000009MWK0AAO,Opportunity for Floyd1015,Closed Won,401291,1,401291,New Business,Web,Closed,BDR,9/25/2028,Won,9/25/2022
0068d000009MWK1AAO,Opportunity for Atkins1016,Closed Won,1926610,1,1926610,New Business,Word of mouth,Closed,Marketing,1/20/2029,Won,1/20/2023
